*Time 	Charge
0.00015622947012719	-1.3723054396243E-8
0.000156452178620658	-1.36931130862745E-8
0.000156892261574988	-1.38899624760938E-8
0.000157772427483649	-1.41803144078901E-8
0.000159367267649699	-1.42149562424099E-8
0.000161853193893953	-1.48681336105577E-8
0.000162474675455016	-1.48726077373622E-8
0.000163452857331522	-1.48503110248882E-8
0.00016467038309038	-1.50731021600658E-8
0.000166173141747471	-1.52455309582167E-8
0.000169178659061654	-1.594198527434E-8
0.00017518969369002	-1.66397374668655E-8
0.00018032884815526	-1.68248835378412E-8
0.000183427375767886	-1.76370229487109E-8
0.0001854352490811	-1.76963790880415E-8
0.000187094890216441	-1.77285894202968E-8
0.00018987863320272	-1.80221470245827E-8
0.000190701750103459	-1.78799433471382E-8
0.000190993617813547	-1.78291495970295E-8
0.000191030101277308	-1.78228495808833E-8
0.00019110306820483	-1.78103113824733E-8
0.000191112849056602	-1.78086343336617E-8
0.000191129531829809	-1.78057732652321E-8
0.00019114396968876	-1.78032966101729E-8
0.000191155878738102	-1.78012587920853E-8
0.000191164267245751	-1.77998242982977E-8
0.000191170913296859	-1.77986878292938E-8
0.000191176274948035	-1.77977725343624E-8
0.000191183701928341	-1.77965045573718E-8
0.000191190147048116	-1.77954040940902E-8
0.000191196254731582	-1.77943611433661E-8
0.000191200971999224	-1.77935554531594E-8
0.000191204124001949	-1.77930170488677E-8
0.000191206522195823	-1.7792607402438E-8
0.000191207522195823	-1.77924364875305E-8
0.000191209667884593	-1.77920699651487E-8
0.000191211959262131	-1.77916785464141E-8
0.000191216199255349	-1.77909542282682E-8
0.000191221426065834	-1.77900612635783E-8
0.000191228895021993	-1.77887848535919E-8
0.000191235557235856	-1.77876460680405E-8
0.00019124505526372	-1.77860224854447E-8
0.000191255225980155	-1.77842840042526E-8
0.000191270590580357	-1.77816571795868E-8
0.000191293133958205	-1.7777801828754E-8
0.000191329196896494	-1.77716330694458E-8
0.000191365201231156	-1.77654849412149E-8
0.000191396726971433	-1.77600994008757E-8
0.000191416049082458	-1.77567972568991E-8
0.000191438498098071	-1.77529594775214E-8
0.000191462420872172	-1.77488682461017E-8
0.000191482798032613	-1.77453845792729E-8
0.000191512421479315	-1.77403274445324E-8
0.000191550767088648	-1.77337835894387E-8
0.000191592034173462	-1.77267396718687E-8
0.000191632218865358	-1.77199126730617E-8
0.000191669929669302	-1.77135385155675E-8
0.000191705073411817	-1.77076205276856E-8
0.000191742478245057	-1.7701323523329E-8
0.00019178464703904	-1.76942359011845E-8
0.000191833811504271	-1.7763057987908E-8
0.000191894441922365	-1.7897084490998E-8
0.000191939833993593	-1.80097759569433E-8
0.000191967948438995	-1.80680852737709E-8
